id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
4969739464215874,Ntgf0hGJY,6982075715,奥79937,#佳木斯坍塌体育馆3人遇难#我伟大的祖国，现在什么情况了,,,,佳木斯坍塌体育馆3人遇难,0,0,1,2023-11-19 10:41,iPhone客户端,,,,辽宁
4969179033897576,Nt1F5glW8,1422162807,甄昊元,#佳木斯坍塌体育馆3人遇难#此类大跨度轻质材料的平屋顶项目，在北方有很多。经常有因为暴雪导致坍塌的事件。但是全部拆除重建，耗资巨大，压力也大。刚刚路上构思了一个轻质的自动感知降雪和自动除雪的装置，或可解决这个问题。简单构想了一下，大多数项目都有条件安装这个装置，成本又不高，出现降雪天气，它可以根据降雪情况自动启动，自动清雪，解决隐患。大多数大跨度建筑都可以采用类似的方案进行清雪活动。稍晚些时候把这个设计方案完善了放出来，或可降低北方大部分地区的风险。#微博新知博主#,,,,"佳木斯坍塌体育馆3人遇难,微博新知博主",0,0,1,2023-11-17 21:34,微博网页版,"['https://wx4.sinaimg.cn/large/54c47b77ly1hjyfbbth3ij20dw0afjwg.jpg', 'https://wx1.sinaimg.cn/large/54c47b77ly1hjyfcsrwsbj20go0b3tcr.jpg', 'https://wx4.sinaimg.cn/large/54c47b77ly1hjyfdwvglij20b406iwia.jpg', 'https://wx2.sinaimg.cn/large/54c47b77ly1hjyfeh1knwj20u00l8wr1.jpg']",,,黑龙江
4969173047314508,Nt1vquGPW,1674946343,豆腐的麻婆,#佳木斯坍塌体育馆3人遇难#现在什么情况啦？,,,,佳木斯坍塌体育馆3人遇难,0,0,1,2023-11-17 21:10,iPhone客户端,,,,辽宁
4969172846248189,Nt1v6qdrf,1674946343,豆腐的麻婆,#佳木斯一体育馆发生坍塌#现在什么情况啦？？,,,,佳木斯一体育馆发生坍塌,0,3,1,2023-11-17 21:09,iPhone客户端,,,,辽宁
4969078504031674,NsZ2WgUP0,1644489953,南方都市报,【#佳木斯再迎暴雪健身场所等停业#！桦南一体育馆曾在雪中坍塌】11月17日，南都记者从黑龙江佳木斯市气象灾害应急指挥部获悉，佳木斯16日—18日再迎暴雪，决定于16日21时至18日09时启动重大气象灾害（暴雪）II级应急响应。佳木斯市主城区实行停课、停工、停产、停运、停业“五停”措施，除承担抢险救灾和保障社会基本运行任务的生产企业外，所有生产企业、大型商场、文化娱乐餐饮健身等人员密集场所全部停业。O佳木斯再迎暴雪，健身场所等停业！桦南一体育馆曾在雪中坍塌,,,,佳木斯再迎暴雪健身场所等停业,0,1,3,2023-11-17 14:54,微博网页版,['https://wx1.sinaimg.cn/large/001Ni6Xvgy1hjy3w6b6lmj60m80h6n7902.jpg'],,,
4969043351570560,NsY8f6AzC,1614482375,燃烧飞鹰,分享网易新闻《佳木斯再迎暴雪，健身场所等停业！桦南一体育馆曾在雪中坍塌》O佳木斯再迎暴雪，健身场所等停业！桦南一体育馆曾在雪中坍塌来自@网易新闻客户端#网易新闻#,,,网易新闻客户端,网易新闻,0,0,0,2023-11-17 12:35,网易新闻客户端,['https://wx4.sinaimg.cn/large/603b0bc7ly1hjxzuw2ukoj20m80h6gnm.jpg'],,,黑龙江
4968837005184834,NsSLqlKOm,7565843781,房子被强拆上访户杨德元,我是黑龙江省绥化市北林区人，感到他们特无耻至极！黑龙江特腐败！坍塌了两个体育馆！《佳木斯体育馆坍塌，遇难者妈妈讨说法，所有人共情》佳木斯体育馆坍塌，遇难者妈妈讨说法，所有人共情O网页链接,,,,,2,2,2,2023-11-16 22:55,百度App,['https://wx4.sinaimg.cn/large/008g1vAply1hjxc2wvl7hj30q50epq4w.jpg'],,,天津
4968676459022378,NsOAtBR8e,7878184823,阿盈论财经,最近爆出来的三件大事，陆家嘴毒土地，中山二院致癌，佳木斯体育馆坍塌，我们从中都能发现一个共同事实，监管部门的缺失和失责。我相信这些地方必然有贪污腐败，否则他们不会欺瞒至今，才使事件曝光，至于监管者是不是知晓会造成严重后果，那就只有他们自己心知肚明了。所以权力缺乏监督，监管者失责，对社会造成的影响是灾难性的。不信你就看银监部门和银行机构以及许家印，以及无数个地产公司与银行，中间会牵扯出无数桩贪污腐败，这直接导致数以万亿的损失和无数个家庭的灾难。一个中鑫银行的行长可以贪污9.7亿，你说全国贪污腐败造成的财产损失到底有多大，足以管中窥豹。,,,,,10,4,131,2023-11-16 12:17,,['https://wx2.sinaimg.cn/large/008Ba3L9gy1hjwtpz8w85j30r10e175k.jpg'],,,广东
4968621551124917,NsN9V4IDP,1731853261,闲云999,大鱼浮出水面？佳木斯体育馆坍塌事件后续来了，已有11个人被抓！O网页链接,,,,,0,0,0,2023-11-16 08:39,分享按钮,,,,山东
4968424195490173,NsI1Bn2fb,2519828022,濮阳消防,#佳木斯一体育馆发生坍塌#【遇到建筑物坍塌该怎么办】若突遇建筑坍塌如何避难？如若被掩埋，该如何自救？戳下图一起了解一下吧！#豫豫小课堂#,,,,"佳木斯一体育馆发生坍塌,豫豫小课堂",0,0,0,2023-11-15 19:35,荣耀70 5G,['https://wx1.sinaimg.cn/large/96318636ly1hjvzc2pbkfj20d01f6441.jpg'],,,
4968411551237063,NsHHd5bOD,3565612791,烟花易冷误惹红尘,#佳木斯一体育馆发生坍塌##bilibili#高剑犁的视频O【高见5】桦南体育馆坍塌事故分析,,,,"佳木斯一体育馆发生坍塌,bilibili",0,0,0,2023-11-15 18:44,哔哩哔哩移动客户端,,,,河南
4968405623900786,NsHxEgmLU,1168523527,龙柏人心果,"#自制美食#2023-11月15日《半月谈吃~上》图一：心❤️碎的感觉，“蛋蛋”的忧伤，国内（11月6日晚7时许，黑龙江佳木斯市桦南县一体育馆发生部分坍塌）。国外的也操心，巴以冲突升级，借图。图4：冬至的饺子图5：首次买羊蹄BTW,雾霾真是准时报道，真希望它“迟到早退”🙏！最好矿工🙊。",,,,自制美食,0,0,0,2023-11-15 18:21,OPPO Find X5,"['https://wx3.sinaimg.cn/large/45a64107ly1hjvyi328taj22dc2rre82.jpg', 'https://wx4.sinaimg.cn/large/45a64107ly1hjvyi3dae2j20mn0pogqf.jpg', 'https://wx2.sinaimg.cn/large/45a64107ly1hjvyi65tzuj235s2dce84.jpg', 'https://wx2.sinaimg.cn/large/45a64107ly1hjvyi7xe66j22dc2dcqv6.jpg', 'https://wx2.sinaimg.cn/large/45a64107ly1hjvyia31anj235s2dcnpf.jpg', 'https://wx3.sinaimg.cn/large/45a64107ly1hjvyid951cj235s2dce83.jpg', 'https://wx2.sinaimg.cn/large/45a64107ly1hjvyif5yd7j22dc35s000.jpg', 'https://wx2.sinaimg.cn/large/45a64107ly1hjvyig9wprj22ea35sx6p.jpg', 'https://wx4.sinaimg.cn/large/45a64107ly1hjvyii3ym3j22ea35skjm.jpg']",,,北京
